time,solar_GWh,wind_GWh,biomass_GWh,water_GWh,demand_GWh
2023-02-01 00:00:00,0.0045,39.029,4.3025,1.13575,65.32575
2023-02-01 01:00:00,0.00425,39.00575,4.28725,1.09975,64.7995
2023-02-01 02:00:00,0.00425,37.31475,4.2695,1.097,63.4195
2023-02-01 03:00:00,0.00475,38.12175,4.267,1.111,63.65925
2023-02-01 04:00:00,0.0045,39.14925,4.27825,1.0855,64.6825
2023-02-01 05:00:00,0.0045,40.03825,4.2675,1.09225,66.52125
2023-02-01 06:00:00,0.005,40.72825,4.43375,1.08525,69.593
2023-02-01 07:00:00,0.007,41.41675,4.66225,1.08125,71.569
2023-02-01 08:00:00,0.35425,41.9695,4.755,1.056,73.40825
2023-02-01 09:00:00,1.81725,40.99075,4.6805,1.08375,74.51225
2023-02-01 10:00:00,3.5135,41.23775,4.6055,1.15375,76.574
2023-02-01 11:00:00,4.78675,41.04175,4.503,1.1965,77.5665
2023-02-01 12:00:00,5.16675,40.623,4.4155,1.13325,77.61225
2023-02-01 13:00:00,4.4915,40.2745,4.418,1.30175,75.28275
2023-02-01 14:00:00,3.239,40.86525,4.471,1.5145,74.7105
2023-02-01 15:00:00,1.845,42.826,4.49925,1.2885,74.88875
2023-02-01 16:00:00,0.50325,43.32875,4.63975,1.16375,74.55625
2023-02-01 17:00:00,0.0135,44.17075,4.69825,1.1155,75.3605
2023-02-01 18:00:00,0.00425,44.483,4.74825,1.32,75.68625
2023-02-01 19:00:00,0.004,44.31575,4.69225,1.126,75.48075
2023-02-01 20:00:00,0.00425,44.078,4.5265,1.1035,73.811
2023-02-01 21:00:00,0.004,43.1305,4.395,1.10025,71.6475
2023-02-01 22:00:00,0.0045,42.35875,4.3375,1.12875,69.93575
2023-02-01 23:00:00,0.00475,42.09925,4.31025,1.1485,68.81425
2023-02-02 00:00:00,0.0035,42.62425,4.25,1.11525,67.8905
2023-02-02 01:00:00,0.0035,42.0015,4.2555,1.15325,67.43825
2023-02-02 02:00:00,0.00325,42.07275,4.2485,1.101,67.22225
2023-02-02 03:00:00,0.003,41.14275,4.25475,1.09275,66.5565
2023-02-02 04:00:00,0.00325,40.12875,4.29575,1.109,66.54925
2023-02-02 05:00:00,0.0035,38.364,4.34225,1.1125,67.1315
2023-02-02 06:00:00,0.0035,36.67375,4.46825,1.15025,69.79575
2023-02-02 07:00:00,0.00775,33.6345,4.67,1.29175,70.92025
2023-02-02 08:00:00,0.41475,30.61775,4.81325,1.172,70.95975
2023-02-02 09:00:00,1.916,27.38175,4.7905,1.104,71.06175
