Hierarchy,Unit,Status,Ziel,Notes
4. Biogene Brennstoffe (fest),,,,
4.1 Energieholz,,,,
4.1.1 Aus Forstwirtschaft,,,,
4.1.1.1 Nutzbare Forstfläche,ha,,,
4.1.1.1.1 Energet. genutzter Anteil am Zuwachs,%,"53,6","33,2",
4.1.1.1.1.1 Energieertrag,MWh/ha/a,"22,7","22,7",
4.1.1.1.1.2 Energieholzaufkommen,GWh/a,,,
"4.1.2 Aus Ackerbau (KUP, Miscanthus usw.)",,,,
4.1.2.1 Anbaufläche,ha,,,
4.1.2.1.1 Energieertrag,MWh/ha/a,"29,9","51,4",
4.1.2.1.2 Energieholzaufkommen,GWh/a,,,
4.1.3 Energieholzaufkommen gesamt,GWh/a,,,
4.1.3.1 davon für Gebäudewärme,%,"73,3","0,0",
4.1.3.2 davon für Prozesswärme,%,"21,3","100,0",
4.1.3.3 davon für Verstromung,%,"5,4","0,0",
4.1.3.4 davon für Wärmenetze GW,%,"0,0","0,0",
4.2 Stroh aus Getreideanbau,,,,
4.2.1 Getreide-Anbaufläche,ha,,,
4.2.1.1 Energet. genutzter Teil am Strohanfall,%,"0,2","33,0",
4.2.1.1.1 Energieertrag,MWh/ha/a,"23,8","23,8",
4.2.1.1.2 Strohbrennstoff-Aufkommen,GWh/a,,,
4.2.1.1.2.1 davon für Gebäudewärme,%,"0,0","0,0",
4.2.1.1.2.2 davon für Prozesswärme,%,"0,0","100,0",
4.2.1.1.2.3 davon für Verstromung,%,"100,0","0,0",
4.2.1.1.2.4 davon für Wärmenetze GW,%,"0,0","0,0",
4.3 Brennstoffaufkommen (fest) NAWARO gesamt,GWh/a,,,
4.3.1 davon Einsatz für Gebäudewärme,GWh/a,,,
4.3.2 davon Einsatz für Prozesswärme,GWh/a,,,
4.3.3 davon Einsatz für Verstromung,GWh/a,,,
4.3.3.1 Nutzungsgrad Kraftwerk,%,"25,0","35,0",
4.3.3.2 Bruttostromerzeugung,GWh/a,,,
4.3.3.3 Nutzungsgrad KWK-Abwärme effektiv,%,"45,0","45,0",
4.3.3.4 Wärmenetze GW (Endenergie),GWh/a,,,
4.3.4 davon Einsatz für Heizwerke/Wärmenetze,GWh/a,,,
4.3.4.1 Nutzungsgrad Heizwerk/Wärmenetz,%,"75,0","75,0",
4.3.4.2 Wärmenetze GW (Endenergie),GWh/a,,,
4.4 Biogener Anteil der Abfälle (fest),,,,
4.4.1 Bruttostromerzeugung,GWh/a,4.525,4.525,
4.4.2 Wärmenetze GW (Endenergie),GWh/a,9.913,9.913,
