Start date;End date;Biomass [MWh] Calculated resolutions;Hydropower [MWh] Calculated resolutions;Wind offshore [MWh] Calculated resolutions;Wind onshore [MWh] Calculated resolutions;Photovoltaics [MWh] Calculated resolutions;Other renewable [MWh] Calculated resolutions;Nuclear [MWh] Calculated resolutions;Lignite [MWh] Calculated resolutions;Hard coal [MWh] Calculated resolutions;Fossil gas [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions;Other conventional [MWh] Calculated resolutions
Oct 16, 2025 12:00 AM;Oct 16, 2025 1:00 AM;4,066.99;1,309.65;5,119.00;6,992.50;0.00;81.37;-;11,033.64;4,114.36;10,037.90;26.11;1,925.84
Oct 16, 2025 1:00 AM;Oct 16, 2025 2:00 AM;4,019.73;1,299.38;5,732.00;7,213.50;0.00;80.39;-;10,832.62;4,095.69;9,420.21;4.40;1,930.18
Oct 16, 2025 2:00 AM;Oct 16, 2025 3:00 AM;3,974.33;1,327.69;5,002.50;6,875.00;0.00;80.39;-;10,357.09;4,018.19;9,360.64;65.02;1,943.85
Oct 16, 2025 3:00 AM;Oct 16, 2025 4:00 AM;3,916.79;1,307.14;4,698.75;6,957.00;0.00;80.39;-;10,375.28;4,177.39;9,603.19;19.03;1,957.91
Oct 16, 2025 4:00 AM;Oct 16, 2025 5:00 AM;3,864.50;1,337.52;5,078.50;7,052.00;0.00;80.39;-;10,699.47;4,180.21;9,768.80;44.95;1,935.19
Oct 16, 2025 5:00 AM;Oct 16, 2025 6:00 AM;3,843.13;1,397.51;5,281.00;7,278.75;0.00;80.39;-;11,147.10;4,264.93;10,037.22;150.29;1,918.55
Oct 16, 2025 6:00 AM;Oct 16, 2025 7:00 AM;3,879.89;1,412.39;5,607.50;7,477.00;0.00;80.39;-;11,525.70;4,711.08;10,893.78;1,327.42;2,053.35
Oct 16, 2025 7:00 AM;Oct 16, 2025 8:00 AM;3,897.97;1,426.94;5,440.75;7,717.75;39.00;80.39;-;11,729.75;4,982.80;12,133.43;2,328.89;1,919.93
Oct 16, 2025 8:00 AM;Oct 16, 2025 9:00 AM;3,907.51;1,369.42;4,643.25;7,976.75;1,721.00;80.39;-;11,739.33;5,018.93;12,987.91;4,090.13;1,917.87
Oct 16, 2025 9:00 AM;Oct 16, 2025 10:00 AM;3,921.80;1,301.71;4,100.50;8,014.50;5,911.25;80.39;-;11,742.25;4,929.61;13,158.12;1,825.07;1,900.95
Oct 16, 2025 10:00 AM;Oct 16, 2025 11:00 AM;3,912.88;1,301.67;3,752.00;7,522.25;10,676.75;80.39;-;11,628.66;4,644.57;12,135.89;558.68;1,913.03
Oct 16, 2025 11:00 AM;Oct 16, 2025 12:00 PM;3,919.39;1,324.64;4,230.75;6,893.75;15,264.00;80.39;-;11,506.59;4,214.66;11,461.25;400.42;1,889.34
Oct 16, 2025 12:00 PM;Oct 16, 2025 1:00 PM;3,923.71;1,318.16;4,664.75;6,687.75;18,048.00;83.73;-;11,373.04;4,149.98;10,875.62;267.41;1,872.17
Oct 16, 2025 1:00 PM;Oct 16, 2025 2:00 PM;3,954.02;1,405.04;4,677.00;7,295.75;17,643.25;90.76;-;11,248.40;4,091.23;10,745.50;50.29;1,929.06
Oct 16, 2025 2:00 PM;Oct 16, 2025 3:00 PM;3,958.09;1,518.55;3,863.25;8,037.75;15,251.00;90.76;-;11,062.30;4,084.42;11,162.88;180.73;1,917.25
