Hierarchy,Status,Ziel,Formula/Note
10. Endenergieangebot aus erneuerbaren Quellen gesamt,,,
10.1 Endenergie aus Erneuerbaren Q. gesamt (GWh/a),459.452,1.855.334,
10.2 Strom (alle Anwendungsbereiche) (GWh/a),242.642,1.003.845,
10.2.1 Stromverbrauch insgesamt (GWh/a),467.131,1.003.828,
10.2.2 Anteil Erneuerb. an Stromverbrauch (%),"51,9","100,0",
10.3 Kraft/Licht/Inform.Komm.Tech./Kälte (KLIK) (GWh/a),171.004,312.759,
10.3.1 davon Strom (erneuerb. Anteil) (GWh/a),171.004,312.759,
10.4 Gebäudewärme (GW) (GWh/a),172.290,663.560,
10.4.1 davon Brennstoffe (GWh/a),88.254,0,
10.4.1.1 davon Kohlenwasserstoffe (gasförmig) (GWh/a),0,0,
10.4.1.2 davon Kohlenwasserstoffe (flüssig) (GWh/a),0,0,
10.4.1.3 davon Kohlenwasserstoffe (fest) (GWh/a),88.254,0,
10.4.2 davon Wärme (GWh/a),66.958,527.537,
10.4.3 davon Strom (erneuerb. Anteil) (GWh/a),17.077,136.023,
10.5 Prozesswärme (PW) (GWh/a),65.636,490.263,
10.5.1 davon Brennstoffe (GWh/a),25.697,132.753,
10.5.1.1 davon Kohlenwasserstoffe (gasförmig) (GWh/a),0,17.161,
10.5.1.2 davon Wasserstoff (GWh/a),0,0,
10.5.1.3 davon Kohlenwasserstoffe (flüssig) (GWh/a),0,0,
10.5.1.4 davon Kohlenwasserstoffe (fest) (GWh/a),25.697,115.591,
10.5.2 davon Wärme (GWh/a),0,0,
10.5.3 davon Strom (erneuerb. Anteil) (GWh/a),39.938,357.510,
10.6 Mobile Anwendungen (GWh/a),50.523,388.752,
10.6.1 davon Kraftstoffe (GWh/a),35.900,191.199,
10.6.1.1 davon Wasserstoff (FC-Traktion) (GWh/a),0,0,
10.6.1.2 davon Kohlenwasserstoffe (gasförmig) (GWh/a),1.132,91.567,
10.6.1.3 davon Kohlenwasserstoffe flüssig (Luftverkehr) (GWh/a),34.769,99.632,
10.6.2 davon Strom (erneuerb. Anteil) (GWh/a),14.623,197.553,
10.7 Brennstoffe (alle Anwendungsbereiche) (GWh/a),149.852,323.952,
10.7.1 davon Wasserstoff (GWh/a),0,0,
10.7.2 davon Kohlenwasserstoffe (gasförmig) (GWh/a),1.132,108.728,
10.7.3 davon Kohlenwasserstoffe (flüssig) (GWh/a),34.769,99.632,
10.7.4 davon Kohlenwasserstoffe (fest) (GWh/a),113.952,115.591,
10.8 Grundstoff Methan (stoffliche Verwendung) (GWh/a),0,76.545,
10.9 Primärenergie-Einsatz Biobrennstoffe (GWh/a),,,
10.9.1 Brennstoffe (alle Anwendungsbereiche) (GWh/a),257.711,244.929,
10.9.1.1 davon Kohlenwasserstoffe (gasförmig) (GWh/a),92.382,110.597,
10.9.1.2 davon Kohlenwasserstoffe (flüssig) (GWh/a),30.198,4.303,
10.9.1.3 davon Kohlenwasserstoffe (fest) (GWh/a),135.131,130.029,
