Source,KLIK,Gebäudewärme,Prozesswärme,Mobile Anwendungen,Total
Laufwasser (Hydro),61599.930389621295,130692.48146124365,96560.50400662138,76567.24870851377,365420.1645660001
Onshore Wind,80914.40445377222,171670.7184104857,126836.76143842294,100574.6806973192,479996.56500000006
Offshore Wind,38137.9288904316,80914.71099004277,59782.82137879217,47404.538740733486,226240.00000000003
Solar PV,3285.9101544959276,6971.4973577653,5150.803558246562,4084.308187392212,19492.5192579
Biogene Brennstoffe,,,,,
Fernwärme aus Biomasse,1671.062982190808,3545.383354156179,2619.462112482173,2077.091551170841,9913.0
Biogas Strom,0.0,0.0,0.0,0.0,0.0
Biogas Wärme,,,,,
Wärmepumpe Gebäude Strom,88792.01001252802,188384.11097334718,139185.2423264303,110366.35708769466,526727.7204000002
Wärmepumpe Industrie Strom,8763.636563058622,18593.225703443157,13737.372073432924,10892.991860065305,51987.226200000005
