Hierarchy,Unit,Status,Ziel,Notes
2. Windenergie,,,,
2.1 Onshore-Windstrom,,,,
2.1.1 Windparkfläche,ha,,,
2.1.1.1 spezifischer Flächenbedarf,ha/MW,"2,90","3,80",
2.1.1.2 Installierte Leistung,MW,,,
2.1.1.2.1 Vollbetriebstunden jährlich,h/a,1.874,2.550,
2.1.1.2.2 Bruttostromerzeugung jährlich,GWh/a,,,
2.1.1.2.3 Energieertrag,MWh/ha/a,,,
2.2 Offshore-Windstrom,,,,
2.2.1 Install. Offshore-Leistung Deutschland,MW,8.337,70.000,
2.2.1.1 Vollbetriebstunden jährlich,h/a,2.823,3.232,
2.2.1.2 Bruttostromerzeugung Deutschland,GWh/a,,,
2.2.1.2.1 Einwohner Deutschland,,84.669.326,84.669.326,
2.2.1.2.2 Energieverbraucher Deutschland 100%EE,,84.669.326,84.669.326,
2.2.1.2.3 Bruttostromerz.Anteil Deutschland 100%EE,GWh/a,,,
